product_id,name,regular_price,promo_price,brand,city
3392900004,Сыр плавленый Hochland сливочный 55% 200г,209.99,169.99,Hochland,moscow
1000296346,Сыр творожный Савушкин Воздушный сливочный 60% 150г,149.99,114.99,Sveza,moscow
1000084229,Масло сладко-сливочное Брест-Литовск 82.5% 180г,,209.99,Брест-Литовск,moscow
1000316960,Сыр Брест-Литовск Маасдам 45% 200г,299.99,209.99,Брест-Литовск,moscow
1000559790,Продукт творожный Даниссимо со вкусом малинового пломбира 5.6% 130г,,59.99,Даниссимо,moscow
1000508305,Биойогурт Актибио вишня 2.9% 130г,,44.99,Актибио,moscow
1899800689,Кефир Простоквашино 2.5% 930г,,89.0,Простоквашино,moscow
1000052910,Сливки Домик в деревне стерилизованные 10% 480г,189.99,115.99,Домик в Деревне,moscow
1899911837,Сливки Альпенгурт для кофе 10% 10шт*10г,,74.99,Альпенгурт,moscow
1000093976,Масса творожная Ростагрокомплекс Особая с изюмом и шоколадом 180г,,119.99,А.Ростагрокомплекс,moscow
3201860040,Сливки Домик в деревне 10% стерилизованные 200мл,119.98,62.99,Домик в Деревне,moscow
1891200042,Сыр плавленый President Сливочный 45% 400г,399.99,269.0,President,moscow
1000585783,Напиток кисломолочный Фругурт со вкусом черники 1% 930г,,119.99,Фругурт,moscow
8000022358,Творог Растишка клубника 3.5% 110г,,43.99,Растишка,moscow
1000429962,Продукт творожный Простоквашино клубника-земляника 3.6% 130г,,44.99,Простоквашино,moscow
1000188641,Крем-десерт в вафельном рожке с какао Коровка из Кореновки 40г,,43.99,Коровка из Кореновки,moscow
1000129520,Молоко сгущенное Рогачевъ с сахаром 8.5% 380г,189.99,139.99,Рогачевъ,moscow
1000177276,Каша Агуша Засыпай-ка молочно-гречневая 2.5% 200мл,79.98,46.99,Агуша,moscow
1000270399,Плавленый сыр без рассола 45% Фетакса 200г,,169.99,Фетакса,moscow
1000124430,Йогурт Даниссимо Фантазия с хрустящими шариками с ягодным вкусом 6.9% 105г,,59.99,Даниссимо,moscow
8000037272,Продукт творожный Даниссимо Черничный пломбир 5.6% 130г,,59.99,Даниссимо,moscow
1000170226,Напиток молочно-соковый Мажитэль Ананас и манго 950г,159.99,104.99,Мажитэль,moscow
1000059932,Сырок Картошка глзированный 20% 45г,,39.99,Картошка,moscow
1000102474,Сметана Простоквашино 20% 180г,,67.99,Простоквашино,moscow
1000498096,Майонез Махеевъ провансаль 50.5% 630г,219.99,139.99,Махеевъ,moscow
1000227071,Сыр плавленый Карат Дружба 45% 90г,,59.99,Карат,moscow
1000238637,Пудинг молочный Grand Dessert Белый шоколад с клубничным муссом 6% 200г,,109.99,Grand,moscow
8000041612,Коктейль Чудо молочный вкус кокос-сливки 2% 200мл,67.49,47.99,Чудо,moscow
2047000033,Яйцо Окское С1 белые 10шт,,109.99,Окское,moscow
1000071969,Сливки Домик в деревне стерилизованные 20% 480г,239.99,209.99,Домик в Деревне,moscow
1000553874,Сметана Домик в деревне 15% 450г,,139.99,Домик в Деревне,moscow
1000306424,Творог Савушкин Рассыпчатый 5% 700г,,259.99,Савушкин,moscow
8000022027,Масса творожная Сыроваровъ И Масловъ домашняя с ванилью 23% 180г,,65.99,Сыроваровъ и Масловъ,moscow
8000030462,Творог Домик в деревне мягкий 5% 150г,,51.99,Домик в Деревне,moscow
1000094173,Биойогурт питьевой Тема Малина и шиповник 2.8% 210г,,53.32,Тема,moscow
1000061729,Творог Зерненый Савушкин Клубника 5% 130г,,67.99,Савушкин,moscow
1000313369,Молочный коктейль со вкусом Шоколад Angelato 2% 200г,,32.99,Angelato,moscow
1000400388,Творог зерненый в сливках Простоквашино 5% 130г,,56.99,Простоквашино,moscow
8000033679,Биойогурт Актибио манго-папайя без сахара 3.0% 130г,,54.99,Актибио,moscow
1000465876,Кисломолочный напиток Exponenta High-Pro обезжиренный солёная карамель 250г,,179.99,Exponenta,moscow
1000347894,Йогурт Коломенский Малина и груша 5% 170г,89.99,79.99,Коломенский,moscow
1000519721,Йогурт питьевой Lucky Days Клубника 1% 260г,,75.99,Lucky Days,moscow
1000291831,Продукт йогуртный Эрмигурт Тропические фрукты 7.5% 100г,,33.99,Эрмигурт,moscow
1812432015,Творог детский Агуша Черника 3.9% 100г,,44.99,Агуша,moscow
